major,department,required_courses,notes,advising_tips
Computer Science,Computer Science,"COSC111; COSC241; COSC242; COSC310; COSC331; COSC332; COSC350; COSC490; MATH141; MATH241; MATH242; STAT302","Students should complete core programming and math requirements before upper-level systems and AI electives.","Plan early for COSC490 and make sure foundational programming plus math courses are completed before heavy 300 and 400 level terms."
Criminal Justice,"Sociology and Anthropology","CRJU101; CRJU210; CRJU305; CRJU308; CRJU331; CRJU408; ENGL101; PSYC101","Morgan supports Criminal Justice through an undergraduate sociology and anthropology-aligned justice path with social systems and policy context.","Start with the intro justice sequence early so upper-level policy, corrections, and research work has a clear foundation."
Actuarial Science,Actuarial Science,"INSS141; MATH130; MATH241; MATH242; MATH243; MATH312; MATH331; MATH340; MATH346; MATH363; MATH364; MATH431","Official Morgan actuarial science degree options emphasize statistics probability finance-aligned preparation and Society of Actuaries exam readiness.","Use early advising to sequence calculus probability modeling and finance-related work so you stay ready for actuarial exams internships and upper-level quantitative courses."
Information Science,Information Science and Systems,"INSS201; INSS220; INSS310; INSS340; ACCT201; ECON201; STAT302; ENGL101; ENGL102","Students usually balance business core requirements with information systems and analytics courses.","Prioritize database analytics and business process courses early if you want internships in consulting or enterprise systems."
Chemistry,Chemistry,"CHEM101; CHEM102; CHEM201; CHEM202; CHEM301; CHEM302; MATH141; PHYS101; PHYS102; ENGL101","Morgan's chemistry undergraduate program highlights rigorous laboratory science preparation and points students to the catalog for detailed track-specific planning.","Use early advising to choose between the general and ACS-oriented chemistry paths, and stay on sequence with chemistry, math, and physics."
Economics,Economics,"ECON201; ECON202; ECON301; ECON302; ECON401; ECON410; STAT302; ENGL101; ENGL102","Morgan's economics program emphasizes economic literacy, policy reasoning, and preparation for both private-sector work and graduate study.","Complete the principles and intermediate sequence early so econometrics, policy analysis, and senior research stay on track."
Finance,Accounting and Finance,"ACCT201; ACCT202; ECON201; ECON202; FINA300; MGMT220; MKTG210; STAT302; ENGL101; ENGL102","Finance at Morgan builds on accounting, economics, and quantitative reasoning with strong career preparation in corporate and investment settings.","Finish the accounting and economics core early so upper-level finance and internship planning are not delayed."
Political Science,Political Science,"POSC101; POSC201; POSC307; POSC314; POSC385; POSC402; ENGL101; ENGL102; HIST101","Morgan's political science department emphasizes leadership, international perspective, and strong student-faculty engagement.","Stay on pace with writing and methods-oriented work so internships, public-service preparation, and senior seminar work fit naturally into the degree."
Biology,Biology,"BIOL101; BIOL102; CHEM101; CHEM102; PHYS101; PHYS102; MATH141; STAT302; BIOL320; BIOL410","Pre-health students should coordinate major requirements with professional school prerequisites.","Meet with a department advisor each semester if you are preparing for medical dental pharmacy or research pathways."
Psychology,Psychology,"PSYC101; PSYC210; PSYC301; PSYC302; STAT302; BIOL101; ENGL101; ENGL102","Psychology students need strong research and writing preparation for internships and graduate study.","Take statistics and research methods on time so you are ready for upper-level lab and practicum opportunities."
Business Administration,Business Administration,"ACCT201; ACCT202; ECON201; ECON202; MGMT220; MKTG210; MGMT330; MGMT410; FINA300; STAT302; ENGL101; ENGL102","Students build a shared business core before moving into upper-level management and strategy work.","Complete accounting economics marketing and quantitative foundations before strategic management planning."
Electrical Engineering,Electrical and Computer Engineering,"ENGE101; ENGE102; EEGR203; EEGR205; EEGR301; EEGR317; MATH141; MATH241; PHYS101; PHYS102","Engineering students should sequence math physics and circuits carefully because later courses build directly on them.","Avoid delaying calculus physics or circuits because that can slow progress toward design-intensive upper-level coursework."
Mathematics,Mathematics,"MATH141; MATH241; MATH242; MATH310; MATH320; STAT302; PHYS101; ENGL101; ENGL102","Mathematics students should balance proof-based work, applied quantitative courses, and supporting science requirements.","Take calculus and linear algebra early so you are ready for upper-level proof, modeling, and methods courses."
English,English,"ENGL101; ENGL102; ENGL220; ENGL310; ENGL320; ENGL350; HIST101; COMM200","English majors should strengthen writing, literary analysis, and communication early while planning electives around career or graduate goals.","Build a strong composition and survey foundation before upper-level writing, theory, and capstone-style seminar work."
History,History,"HIST101; HIST102; HIST210; HIST310; HIST320; ENGL101; ENGL102; POSC201","History students benefit from balancing survey, methods, and writing-intensive coursework across multiple semesters.","Stay on track with writing and research-heavy courses so internship, teaching, law, or graduate-study plans remain flexible."
Sociology,Sociology,"SOCY101; SOCY201; SOCY305; SOCY320; STAT302; PSYC101; ENGL101; ENGL102","Sociology students should combine theory, methods, statistics, and applied social inquiry across the degree.","Take methods and statistics on time so you are ready for upper-level research, policy, and community-focused work."
